Date,High,Low,Close,tic
2011-01-03 00:00:00-02:00,24.85493366546616,24.22372346976619,24.63011932373047,VALE3.SA
2011-01-04 00:00:00-02:00,25.187829499520877,24.850608819315287,25.140274047851562,VALE3.SA
2011-01-05 00:00:00-02:00,25.624488239121394,24.945722617310476,25.59422492980957,VALE3.SA
2011-01-03 00:00:00-02:00,7.084277934151268,6.912179791674875,6.93529748916626,PETR4.SA
2011-01-04 00:00:00-02:00,6.95070924584844,6.78117978789558,6.909611225128174,PETR4.SA
2011-01-05 00:00:00-02:00,7.025200388866605,6.827415838963131,6.99180793762207,PETR4.SA
2011-01-03 00:00:00-02:00,8.890090171072355,8.750351203290522,8.801366806030273,ITUB4.SA
2011-01-04 00:00:00-02:00,8.923362487551055,8.783623501253869,8.872346878051758,ITUB4.SA
2011-01-05 00:00:00-02:00,9.016520257646865,8.770312462610857,9.005430221557617,ITUB4.SA
2011-01-03 00:00:00-02:00,6.278144628122689,6.171226763105433,6.197486877441406,BBDC4.SA
2011-01-04 00:00:00-02:00,6.2959183787251956,6.177694129197674,6.254633903503418,BBDC4.SA
2011-01-05 00:00:00-02:00,6.378489028172355,6.198337780909485,6.370983123779297,BBDC4.SA
2011-01-03 00:00:00-02:00,6.186425321046961,6.104717800004056,6.108608722686768,BBAS3.SA
2011-01-04 00:00:00-02:00,6.1844815347588,6.058029118319904,6.1339006423950195,BBAS3.SA
2011-01-05 00:00:00-02:00,6.242841445542174,6.093044289170836,6.221441745758057,BBAS3.SA
2011-01-03 00:00:00-02:00,5.948599338531494,5.669454490375915,5.948599338531494,RENT3.SA
2011-01-04 00:00:00-02:00,5.948601005496328,5.7992911462886045,5.907486915588379,RENT3.SA
2011-01-05 00:00:00-02:00,6.078435472264789,5.846896722335584,6.0589599609375,RENT3.SA
2011-01-03 00:00:00-02:00,5.457089493405728,5.326059441714675,5.38167667388916,LREN3.SA
2011-01-04 00:00:00-02:00,5.4354110933632604,5.2657317480237,5.30720853805542,LREN3.SA
2011-01-05 00:00:00-02:00,5.372249219650233,5.243104110231142,5.264785289764404,LREN3.SA
2011-01-03 00:00:00-02:00,33.04692035889314,31.549327615947927,32.74740219116211,PRIO3.SA
2011-01-04 00:00:00-02:00,33.74579590719032,32.84724147630225,33.54611587524414,PRIO3.SA
2011-01-05 00:00:00-02:00,33.546115651084484,32.36800765991211,32.36800765991211,PRIO3.SA
2011-01-03 00:00:00-02:00,2.5017545077332604,2.433838259145504,2.4471991062164307,WEGE3.SA
2011-01-04 00:00:00-02:00,2.4783741035596365,2.394870808407925,2.4048914909362793,WEGE3.SA
2011-01-05 00:00:00-02:00,2.4338386856674616,2.3714898495147216,2.372602939605713,WEGE3.SA
2011-01-03 00:00:00-02:00,4.985751871344928,4.929834890126653,4.964069843292236,ABEV3.SA
2011-01-04 00:00:00-02:00,5.017703652517632,4.929833741953448,4.9652099609375,ABEV3.SA
2011-01-05 00:00:00-02:00,4.980046948607937,4.825989103526269,4.872776985168457,ABEV3.SA
